Location,Callorhinchus callorynchus,Galeorhinus galeus,Mustelus schmitti,Notorynchus cepedianus,Myliobatis goodei,Percophis brasiliensis,Genidens barbus,Sebastes oculatus,Congiopodus peruvianus,Dules auriga,Seriola lalandi,Diplodus argenteus,Pagrus pagrus,Nemadactylus bergi,Cottoperca trigloides,Eleginops maclovinus,Notothenia angustata,Patagonotothen sp.,Patagonotothen squamiceps,Paranotothenia magellanica,Pinguipes brasilianus,Pseudopercis semifasciata,Helcogrammoides cunninghami,Paralichthys patagonicus,Acanthistius patachonicus,Scomber colias,Odontesthes smitti,Trachurus lathami,Mullus argentinae,Stromateus brasiliensis,Pomatomus saltatrix,Myxinidae
GSM,1.8,1.6,0.0,0.0,1.0,2.5,0.0,2.4,1.5,2.9,2.3,3.3,4.1,2.6,0.0,0.0,0.0,0.0,0.0,0.0,3.8,2.6,1.7,1.5,3.1,3.4,2.8,0.0,2.5,1.0,1.0,0.0
GSJ,1.8,1.8,0.0,0.0,0.0,1.3,1.0,2.5,0.0,2.5,0.0,0.0,2.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.7,1.0,1.3,2.8,2.7,2.8,1.8,0.0,0.0,0.0,0.0
GN,2.5,2.5,1.0,1.3,1.3,1.8,1.0,2.9,0.0,1.7,2.2,1.0,3.3,3.8,0.0,0.0,0.0,2.0,0.0,0.0,3.4,3.0,1.9,1.0,3.3,3.5,2.9,0.0,0.0,0.0,0.0,0.0
CR_Cam,1.7,1.3,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,3.8,0.0,1.0,0.0,2.8,0.0,0.0,2.9,2.6,1.3,0.0,2.1,3.2,1.8,0.0,0.0,0.0,0.0,1.0
Comod_Riv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.5,1.9,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,1.3
Pto_des,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.7,1.9,2.3,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0
Isla_E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
